Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Atlanta,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$53,415",1.80%
Atlanta,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Atlanta,Quick Facts,2018-01,Job Openings,Job Openings,"113,354",19.30%
Atlanta,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"3,046,313",2.40%
Atlanta,Quick Facts,2017-11,Total Employment,Total Employment,"2,919,300",3.10%
Atlanta,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,4.20%,-0.60%
New York City,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$61,042",1.70%
New York City,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
New York City,Quick Facts,2018-01,Job Openings,Job Openings,"289,409",15.50%
New York City,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"10,029,312",1.00%
New York City,Quick Facts,2017-11,Total Employment,Total Employment,"9,594,611",1.00%
New York City,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,4.30%,0.00%
Los Angeles,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$59,906",1.50%
Los Angeles,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Los Angeles,Quick Facts,2018-01,Job Openings,Job Openings,"202,713",22.40%
Los Angeles,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"6,762,774",1.30%
Los Angeles,Quick Facts,2017-11,Total Employment,Total Employment,"6,504,464",2.10%
Los Angeles,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,3.80%,-0.70%
Philadelphia,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$54,240",0.40%
Philadelphia,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Philadelphia,Quick Facts,2018-01,Job Openings,Job Openings,"108,740",11.20%
Philadelphia,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"3,093,418",-0.30%
Philadelphia,Quick Facts,2017-11,Total Employment,Total Employment,"2,957,001",-0.20%
Philadelphia,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,4.40%,-0.10%
Houston,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$54,660",0.40%
Houston,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Houston,Quick Facts,2018-01,Job Openings,Job Openings,"90,687",19.10%
Houston,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"3,309,912",0.40%
Houston,Quick Facts,2017-11,Total Employment,Total Employment,"3,167,488",1.40%
Houston,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,4.30%,-0.90%
Seattle,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$60,549",1.10%
Seattle,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Seattle,Quick Facts,2018-01,Job Openings,Job Openings,"93,648",0.70%
Seattle,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"2,079,823",1.90%
Seattle,Quick Facts,2017-11,Total Employment,Total Employment,"1,993,742",2.10%
Seattle,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,4.10%,-0.20%
San Francisco,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$68,328",2.20%
San Francisco,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
San Francisco,Quick Facts,2018-01,Job Openings,Job Openings,"139,477",25.00%
San Francisco,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"2,581,796",1.00%
San Francisco,Quick Facts,2017-11,Total Employment,Total Employment,"2,513,630",2.00%
San Francisco,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,2.60%,-0.90%
Chicago,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$55,726",0.10%
Chicago,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Chicago,Quick Facts,2018-01,Job Openings,Job Openings,"186,970",22.20%
Chicago,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"4,882,913",0.00%
Chicago,Quick Facts,2017-11,Total Employment,Total Employment,"4,654,658",0.50%
Chicago,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,4.70%,-0.50%
Boston,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$58,774",1.70%
Boston,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Boston,Quick Facts,2018-01,Job Openings,Job Openings,"146,363",22.60%
Boston,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"2,683,488",1.10%
Boston,Quick Facts,2017-11,Total Employment,Total Employment,"2,602,919",0.60%
Boston,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,3.00%,0.40%
Washington DC,Quick Facts,2018-01,Metro Median Pay,Metro Median Pay,"$59,269",1.90%
Washington DC,Quick Facts,2018-01,U.S. Median Pay,U.S. Median Pay,"$51,364",0.90%
Washington DC,Quick Facts,2018-01,Job Openings,Job Openings,"164,201",8.90%
Washington DC,Quick Facts,2017-11,Labor Force Size,Labor Force Size,"3,380,530",1.40%
Washington DC,Quick Facts,2017-11,Total Employment,Total Employment,"3,257,918",1.40%
Washington DC,Quick Facts,2017-11,Unemployment Rate,Unemployment Rate,3.60%,0.00%
National,Job Title,2018-01,Software Engineer,Median Base Pay,"$86,169",1.50%
National,Job Title,2018-01,Programmer Analyst,Median Base Pay,"$67,369",-0.80%
National,Job Title,2018-01,Consultant,Median Base Pay,"$74,563",-0.40%
National,Job Title,2018-01,Project Manager,Median Base Pay,"$73,304",0.30%
National,Job Title,2018-01,Store Manager,Median Base Pay,"$48,079",0.50%
National,Job Title,2018-01,Business Analyst,Median Base Pay,"$64,184",1.70%
National,Job Title,2018-01,Cashier,Median Base Pay,"$27,338",2.50%
National,Job Title,2018-01,Financial Analyst,Median Base Pay,"$62,386",1.30%
National,Job Title,2018-01,Administrative Assistant,Median Base Pay,"$38,950",0.50%
National,Job Title,2018-01,Accountant,Median Base Pay,"$55,199",0.00%
National,Job Title,2018-01,Sales Representative,Median Base Pay,"$46,165",3.00%
National,Job Title,2018-01,Professor,Median Base Pay,"$87,127",-2.00%
National,Job Title,2018-01,Registered Nurse,Median Base Pay,"$66,880",1.30%
National,Job Title,2018-01,Marketing Manager,Median Base Pay,"$66,904",0.60%
National,Job Title,2018-01,Operations Manager,Median Base Pay,"$65,535",0.00%
National,Job Title,2018-01,Product Manager,Median Base Pay,"$90,800",1.00%
National,Job Title,2018-01,Sales Manager,Median Base Pay,"$59,470",-0.20%
National,Job Title,2018-01,Teacher,Median Base Pay,"$46,080",1.50%
National,Job Title,2018-01,Bank Teller,Median Base Pay,"$28,821",3.00%
National,Job Title,2018-01,Customer Service Manager,Median Base Pay,"$53,669",-0.70%
National,Job Title,2018-01,Physical Therapist,Median Base Pay,"$72,810",-0.60%
National,Job Title,2018-01,Mechanical Engineer,Median Base Pay,"$73,505",1.10%
National,Job Title,2018-01,Recruiter,Median Base Pay,"$50,117",1.00%
National,Job Title,2018-01,Design Engineer,Median Base Pay,"$72,048",2.30%
National,Job Title,2018-01,Pharmacy Technician,Median Base Pay,"$30,277",1.90%
National,Job Title,2018-01,Graphic Designer,Median Base Pay,"$44,438",1.20%
National,Job Title,2018-01,Web Developer,Median Base Pay,"$64,195",2.80%
National,Job Title,2018-01,Business Development Manager,Median Base Pay,"$67,663",-0.40%
National,Job Title,2018-01,Data Scientist,Median Base Pay,"$94,489",-0.40%
National,Job Title,2018-01,Buyer,Median Base Pay,"$57,033",1.80%
National,Job Title,2018-01,Data Analyst,Median Base Pay,"$59,129",1.60%
National,Job Title,2018-01,Electrical Engineer,Median Base Pay,"$76,643",1.20%
National,Job Title,2018-01,Attorney,Median Base Pay,"$95,087",1.00%
National,Job Title,2018-01,Human Resources Manager,Median Base Pay,"$68,201",1.70%
National,Job Title,2018-01,Technician,Median Base Pay,"$45,389",0.60%
National,Job Title,2018-01,Restaurant Cook,Median Base Pay,"$28,958",5.40%
National,Job Title,2018-01,Production Manager,Median Base Pay,"$67,308",1.50%
National,Job Title,2018-01,Manufacturing Engineer,Median Base Pay,"$71,765",1.40%
National,Job Title,2018-01,Retail Key Holder,Median Base Pay,"$28,691",0.20%
National,Job Title,2018-01,Paralegal,Median Base Pay,"$48,593",3.30%
National,Job Title,2018-01,Java Developer,Median Base Pay,"$74,768",-0.50%
National,Job Title,2018-01,Warehouse Associate,Median Base Pay,"$42,179",2.60%
National,Job Title,2018-01,Property Manager,Median Base Pay,"$49,202",0.40%
National,Job Title,2018-01,Producer,Median Base Pay,"$53,157",2.30%
National,Job Title,2018-01,Quality Engineer,Median Base Pay,"$71,640",-0.10%
National,Job Title,2018-01,Operations Analyst,Median Base Pay,"$53,891",0.50%
National,Job Title,2018-01,Medical Assistant,Median Base Pay,"$33,976",1.60%
National,Job Title,2018-01,Tax Manager,Median Base Pay,"$95,118",-0.10%
National,Job Title,2018-01,Technical Editor,Median Base Pay,"$51,702",0.90%
National,Job Title,2018-01,Truck Driver,Median Base Pay,"$52,783",2.50%
National,Job Title,2018-01,Insurance Agent,Median Base Pay,"$40,765",-1.00%
National,Job Title,2018-01,Medical Technologist,Median Base Pay,"$54,747",4.10%
National,Job Title,2018-01,Field Engineer,Median Base Pay,"$71,186",2.00%
National,Job Title,2018-01,Machine Operator,Median Base Pay,"$38,299",-2.00%
National,Job Title,2018-01,Communications Manager,Median Base Pay,"$67,323",0.20%
National,Job Title,2018-01,Construction Laborer,Median Base Pay,"$39,179",1.10%
National,Job Title,2018-01,Emergency Medical Technician,Median Base Pay,"$35,023",2.60%
National,Job Title,2018-01,Web Designer,Median Base Pay,"$51,600",2.30%
National,Job Title,2018-01,Maintenance Worker,Median Base Pay,"$39,636",-1.10%
National,Job Title,2018-01,Barista,Median Base Pay,"$24,614",2.40%
National,Job Title,2018-01,Bartender,Median Base Pay,"$31,562",-2.50%
National,Job Title,2018-01,Civil Engineer,Median Base Pay,"$66,407",-0.60%
National,Job Title,2018-01,Claims Adjuster,Median Base Pay,"$51,055",1.10%
National,Job Title,2018-01,Certified Nursing Assistant,Median Base Pay,"$28,631",1.40%
National,Job Title,2018-01,Customer Service Representative,Median Base Pay,"$35,836",1.90%
National,Job Title,2018-01,Delivery Driver,Median Base Pay,"$38,720",4.00%
National,Job Title,2018-01,Financial Advisor,Median Base Pay,"$52,766",1.40%
National,Job Title,2018-01,Licensed Practical Nurse,Median Base Pay,"$41,687",1.50%
National,Job Title,2018-01,Loan Officer,Median Base Pay,"$44,609",-3.70%
National,Job Title,2018-01,Maintenance Technician,Median Base Pay,"$44,282",1.80%
National,Job Title,2018-01,Material Handler,Median Base Pay,"$36,398",1.70%
National,Job Title,2018-01,Network Engineer,Median Base Pay,"$71,817",2.40%
National,Job Title,2018-01,Office Manager,Median Base Pay,"$44,919",-0.30%
National,Job Title,2018-01,Pharmacist,Median Base Pay,"$127,034",1.10%
National,Job Title,2018-01,Process Engineer,Median Base Pay,"$76,865",1.30%
National,Job Title,2018-01,Program Manager,Median Base Pay,"$74,569",-0.70%
National,Job Title,2018-01,Research Assistant,Median Base Pay,"$30,220",-0.80%
National,Job Title,2018-01,Restaurant Manager,Median Base Pay,"$49,332",-1.10%
National,Job Title,2018-01,Security Officer,Median Base Pay,"$34,294",2.10%
National,Job Title,2018-01,Server,Median Base Pay,"$32,985",1.80%
National,Job Title,2018-01,Solutions Architect,Median Base Pay,"$101,922",-0.90%
National,Job Title,2018-01,Systems Engineer,Median Base Pay,"$80,011",2.20%
National,Job Title,2018-01,Technical Support,Median Base Pay,"$45,818",3.60%
National,Job Title,2018-01,UX Designer,Median Base Pay,"$74,500",-0.50%
Atlanta,Job Title,2018-01,Software Engineer,Median Base Pay,"$85,825",2.40%
Atlanta,Job Title,2018-01,Programmer Analyst,Median Base Pay,"$72,851",0.00%
Atlanta,Job Title,2018-01,Consultant,Median Base Pay,"$86,392",0.50%
Atlanta,Job Title,2018-01,Project Manager,Median Base Pay,"$78,509",1.10%
Atlanta,Job Title,2018-01,Store Manager,Median Base Pay,"$50,420",1.40%
Atlanta,Job Title,2018-01,Business Analyst,Median Base Pay,"$71,757",2.60%
Atlanta,Job Title,2018-01,Cashier,Median Base Pay,"$26,187",3.40%
Atlanta,Job Title,2018-01,Financial Analyst,Median Base Pay,"$64,745",2.20%
Atlanta,Job Title,2018-01,Administrative Assistant,Median Base Pay,"$40,661",1.40%
Atlanta,Job Title,2018-01,Accountant,Median Base Pay,"$56,839",0.90%
Atlanta,Job Title,2018-01,Sales Representative,Median Base Pay,"$48,985",3.90%
Atlanta,Job Title,2018-01,Professor,Median Base Pay,"$89,808",-1.20%
Atlanta,Job Title,2018-01,Registered Nurse,Median Base Pay,"$65,893",2.20%
Atlanta,Job Title,2018-01,Marketing Manager,Median Base Pay,"$75,089",1.50%
Atlanta,Job Title,2018-01,Operations Manager,Median Base Pay,"$69,389",0.90%
Atlanta,Job Title,2018-01,Product Manager,Median Base Pay,"$97,359",1.90%
Atlanta,Job Title,2018-01,Sales Manager,Median Base Pay,"$64,395",0.70%
Atlanta,Job Title,2018-01,Teacher,Median Base Pay,"$48,184",2.40%
Atlanta,Job Title,2018-01,Bank Teller,Median Base Pay,"$30,066",3.90%
Atlanta,Job Title,2018-01,Customer Service Manager,Median Base Pay,"$55,409",0.20%
Atlanta,Job Title,2018-01,Physical Therapist,Median Base Pay,"$74,880",0.30%
Atlanta,Job Title,2018-01,Mechanical Engineer,Median Base Pay,"$73,804",2.00%
Atlanta,Job Title,2018-01,Recruiter,Median Base Pay,"$52,178",1.90%
Atlanta,Job Title,2018-01,Design Engineer,Median Base Pay,"$73,462",3.20%
Atlanta,Job Title,2018-01,Pharmacy Technician,Median Base Pay,"$29,014",2.80%
Atlanta,Job Title,2018-01,Graphic Designer,Median Base Pay,"$50,463",2.10%
Atlanta,Job Title,2018-01,Web Developer,Median Base Pay,"$76,683",3.70%
Atlanta,Job Title,2018-01,Business Development Manager,Median Base Pay,"$73,951",0.50%
Atlanta,Job Title,2018-01,Data Scientist,Median Base Pay,"$94,948",0.50%
Atlanta,Job Title,2018-01,Buyer,Median Base Pay,"$58,711",2.70%
Atlanta,Job Title,2018-01,Data Analyst,Median Base Pay,"$65,452",2.50%
Atlanta,Job Title,2018-01,Electrical Engineer,Median Base Pay,"$76,474",2.10%
Atlanta,Job Title,2018-01,Attorney,Median Base Pay,"$104,126",1.90%
Atlanta,Job Title,2018-01,Human Resources Manager,Median Base Pay,"$75,364",2.60%
Atlanta,Job Title,2018-01,Technician,Median Base Pay,"$45,385",1.50%
Atlanta,Job Title,2018-01,Restaurant Cook,Median Base Pay,"$27,193",6.40%
Atlanta,Job Title,2018-01,Production Manager,Median Base Pay,"$69,597",2.40%
Atlanta,Job Title,2018-01,Manufacturing Engineer,Median Base Pay,"$72,970",2.30%
Atlanta,Job Title,2018-01,Retail Key Holder,Median Base Pay,"$29,383",1.10%
Atlanta,Job Title,2018-01,Paralegal,Median Base Pay,"$53,448",4.20%
Atlanta,Job Title,2018-01,Java Developer,Median Base Pay,"$77,756",0.40%
Atlanta,Job Title,2018-01,Warehouse Associate,Median Base Pay,"$41,191",3.50%
